id,v4,p4,q4
355,0.959517732,21.51639002,29.70684377
356,0.985336249,27.50217635,36.37845101
357,0.991948684,9.856829426,34.03979339
358,1.016019852,11.47251299,-22.98778557
359,0.989043158,17.92497721,24.93029426
360,0.984916127,1.689380026,-4.868571112
361,1.032988153,36.65853824,-23.74872585
362,1.005199837,12.61467922,-8.672935921
363,1.019540719,41.8895488,3.386200361
364,1.002268899,17.61241262,25.66032333
365,1.003272885,16.47970664,-3.811285974
366,0.992547722,43.00865413,3.939313411
367,0.994741714,-0.048255911,23.66035927
368,1.018795424,10.18090855,-24.6309153
369,0.986156234,18.42372643,-12.08484397
370,0.974181869,-3.929629332,32.54079382
371,1.022582402,-7.384437487,25.24991526
372,0.993079817,29.90659301,17.95007014
373,0.96810031,-11.12451185,28.25838367
374,1.021913152,33.34320226,6.203290335
375,1.004680304,-11.84480199,-19.1644071
376,1.016949748,19.74177989,-24.72847191
377,0.995032588,17.27991914,-16.79102489
378,1.0102927,30.95752893,15.84152569
379,1.01297988,43.17147499,29.96441769
380,1.025925137,7.298667211,10.86295423
381,0.984996614,3.912260615,-7.958908725
382,0.965319008,1.642857028,34.21055633
383,1.003352355,2.75873108,-20.87783711
384,1.023152892,14.93214038,0.95882229
385,1.009758414,18.84643335,23.62905285
386,1.001096358,6.454747039,10.48291897
387,0.99505153,-9.200343568,-6.681492043
388,0.99452313,26.95312983,21.73623537
389,1.002959122,6.334712361,-16.70931204
390,1.011172539,8.284581421,32.80365317
391,1.002323947,4.701750617,10.96253751
392,1.004289756,22.6615222,16.17314011
393,1.017209262,28.59715163,9.169133419
394,1.024144953,42.29843196,4.407713706
395,0.984631125,39.45145445,30.70119344
396,0.98044483,13.80210527,-10.29503645
397,0.940773706,7.477307025,37.06736633
398,1.009990471,39.87744351,-23.56781902
399,0.96240472,31.30728854,26.5862961
400,0.979257869,15.62230149,6.379053758
